08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - E:\Games\The Wolf Among Us\Fables.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Found valid extension: .exe for file: E:\Games\The Wolf Among Us\Fables.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\fmodex.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\Galaxy.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\GalaxyPeer.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\gog.ico
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\goggame-1432213513.hashdb
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\goggame-1432213513.ico
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\goggame-1432213513.info
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\goggame-1432213513.script
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\goglog.ini
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Checking file: E:\Games\The Wolf Among Us\language_setup.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Wolf Among Us) - Found preferred extension: .exe for file: E:\Games\The Wolf Among Us\language_setup.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection)
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Found 6 files in directory
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\game.ico
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\game.jpg
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\Launcher.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Found preferred extension: .exe for file: E:\Games\UNCHARTED - Legacy of Thieves Collection\Launcher.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - E:\Games\UNCHARTED - Legacy of Thieves Collection\Launcher.exe is not a preferred filename.
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Found valid extension: .exe for file: E:\Games\UNCHARTED - Legacy of Thieves Collection\Launcher.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\Launcher.ini
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\unins000.dat
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Checking file: E:\Games\UNCHARTED - Legacy of Thieves Collection\unins000.exe
08-01 17:02:02.797|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\UNCHARTED - Legacy of Thieves Collection) - Found preferred extension: .exe for file: E:\Games\UNCHARTED - Legacy of Thieves Collection\unins000.exe
